Staten Island Rolling Sales File.  All Sales From May 2016 - April 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 5/1/2017  Co-op Sales Files as of 5/5/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 1/6/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6230,37, ,A2,624 DRUMGOOLE ROAD EAST                  ,            ,10312, 1 , -   , 1 ," 8,000 ", 832 ,1930,1,A2," 280,000 ",7/7/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6232,11, ,A1,182 RATHBUN AVENUE                       ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,630 ",1960,1,A1," 522,500 ",5/9/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6234,45, ,A2,578 ARDEN AVENUE                         ,            ,10312, 1 , -   , 1 ," 4,200 "," 1,290 ",1935,1,A2," 490,000 ",9/26/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6235,27, ,A2,140 SINCLAIR AVENUE                      ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,176 ",1965,1,A2," 400,000 ",12/20/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6236,9, ,A1,383 JEFFERSON BOULEVARD                  ,            ,10312, 1 , -   , 1 ," 3,960 "," 1,165 ",1940,1,A1," 590,000 ",7/22/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6236,50, ,A2,107 SINCLAIR AVENUE                      ,            ,10312, 1 , -   , 1 ," 6,000 "," 2,016 ",1960,1,A2, -   ,6/28/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6238,23, ,A1,240 CROWN AVENUE                         ,            ,10312, 1 , -   , 1 ," 8,000 "," 2,870 ",1975,1,A1," 690,000 ",5/27/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6242,28, ,A5,48 MOSELY AVENUE                         ,            ,10312, 1 , -   , 1 ," 4,070 "," 1,200 ",1975,1,A5," 100,000 ",4/5/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6245,108, ,A1,7 FURMAN STREET                          ,            ,10312, 1 , -   , 1 ," 6,400 "," 2,076 ",1970,1,A1, -   ,1/20/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6246,60, ,A1,5031 AMBOY ROAD                          ,            ,10312, 1 , -   , 1 ," 9,504 "," 1,572 ",1899,1,A1, -   ,6/8/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,24, ,A3,58 TENAFLY PLACE                         ,            ,10312, 1 , -   , 1 ," 4,630 "," 1,580 ",2014,1,A3," 645,570 ",6/8/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,155, ,A1,23 ELY AVENUE                            ,            ,10312, 1 , -   , 1 ," 4,551 "," 1,768 ",1965,1,A1," 660,000 ",8/18/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,239, ,A2,116 NORTH PINE TERRACE                   ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,008 ",1965,1,A2," 550,000 ",6/14/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,414, ,A2,924 ANNADALE ROAD                        ,            ,10312, 1 , -   , 1 ," 4,879 "," 2,088 ",1965,1,A2, -   ,9/28/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,516, ,A5,24 EAST TENAFLY AVENUE                   ,            ,10312, 1 , -   , 1 ," 3,900 "," 1,834 ",1975,1,A5," 510,000 ",12/5/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,518, ,A1,20 EAST TENAFLY AVENUE                   ,            ,10312, 1 , -   , 1 ," 3,854 "," 1,638 ",1975,1,A1," 470,000 ",8/29/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,524, ,A5,8 EAST TENAFLY AVENUE                    ,            ,10312, 1 , -   , 1 ," 5,510 "," 1,302 ",1975,1,A5," 490,000 ",3/6/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,635, ,A3,23 TENAFLY PLACE                         ,            ,10312, 1 , -   , 1 ," 5,516 "," 2,395 ",2014,1,A3, -   ,6/4/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,700, ,A1,77 BENNETT AVENUE                        ,            ,10312, 1 , -   , 1 ," 8,322 "," 2,144 ",1986,1,A1," 950,000 ",5/4/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6251,14, ,A1,76 DOWNES AVENUE                         ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,966 ",1974,1,A1, -   ,5/26/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6251,75, ,A5,97 BENNETT AVENUE                        ,            ,10312, 1 , -   , 1 ," 3,135 "," 1,344 ",1970,1,A5, -   ,9/20/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6251,80, ,A5,109 BENNETT AVENUE                       ,            ,10312, 1 , -   , 1 ," 3,283 "," 1,344 ",1970,1,A5, -   ,8/19/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6254,99, ,A1,75 SOUTH RAILROAD ST                     ,            ,10312, 1 , -   , 1 ," 2,960 "," 1,362 ",1993,1,A1," 95,000 ",5/12/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6257,90, ,A2,10 BURCHARD COURT                        ,            ,10312, 1 , -   , 1 ," 6,138 "," 1,086 ",1955,1,A2," 390,000 ",8/23/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6261,11, ,A2,249 EDGEGROVE AVENUE                     ,            ,10312, 1 , -   , 1 ," 4,000 ", 720 ,1945,1,A2," 459,000 ",10/20/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6261,19, ,A0,230 IONIA AVENUE                         ,            ,10312, 1 , -   , 1 ," 8,000 "," 1,600 ",1960,1,A0, -   ,12/6/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6268,5, ,A1,286 STAFFORD AVENUE                      ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,002 ",1970,1,A1," 579,000 ",3/16/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6268,5, ,A1,286 STAFFORD AVENUE                      ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,002 ",1970,1,A1," 700,000 ",11/10/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6268,68, ,A2,227 SINCLAIR AVENUE                      ,            ,10312, 1 , -   , 1 ," 4,200 "," 1,884 ",1965,1,A2," 630,000 ",8/9/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6271,28, ,A3,291 CROWN AVENUE                         ,            ,10312, 1 , -   , 1 ," 12,000 "," 4,040 ",1985,1,A3," 980,000 ",1/17/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6272,10, ,A1,30 CANTON AVENUE                         ,            ,10312, 1 , -   , 1 ," 6,084 "," 2,184 ",1975,1,A1," 730,000 ",8/1/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6272,28, ,A2,11 HOLCOMB AVENUE                        ,            ,10312, 1 , -   , 1 ," 4,040 "," 2,092 ",1960,1,A2," 590,000 ",11/28/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6273,22, ,A1,16 HOLCOMB AVENUE                        ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,690 ",1945,1,A1," 435,000 ",8/4/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6273,32, ,A3,339 CROWN AVENUE                         ,            ,10312, 1 , -   , 1 ," 4,492 "," 2,804 ",2016,1,A3," 495,000 ",3/1/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6273,33, ,A3,345 CROWN AVENUE                         ,            ,10312, 1 , -   , 1 ," 4,492 "," 2,800 ",2015,1,A3," 495,000 ",12/1/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6278,88, ,A5,286 IONIA AVENUE                         ,            ,10312, 1 , -   , 1 ," 3,000 "," 1,080 ",1986,1,A5," 375,000 ",11/4/2016
